"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",99.97731,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",99.60408,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",99.92992,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",99.01496,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",94.60566,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2011","2011","IDX","Index","0","Units","2013M12_100","2013M12=100",95.38934,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2012","2012","IDX","Index","0","Units","2013M12_100","2013M12=100",96.99558,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2013","2013","IDX","Index","0","Units","2013M12_100","2013M12=100",99.01917,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2014","2014","IDX","Index","0","Units","2013M12_100","2013M12=100",100.9895,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2015","2015","IDX","Index","0","Units","2013M12_100","2013M12=100",102.726,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2016","2016","IDX","Index","0","Units","2013M12_100","2013M12=100",105.0721,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2017","2017","IDX","Index","0","Units","2013M12_100","2013M12=100",108.7657,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2018","2018","IDX","Index","0","Units","2013M12_100","2013M12=100",111.6062,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2019","2019","IDX","Index","0","Units","2013M12_100","2013M12=100",115.2343,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2020","2020","IDX","Index","0","Units","2013M12_100","2013M12=100",119.1674,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,1.631393,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,3.450456,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,1.102681,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.3951694,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.9987356,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.02269053,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,-0.3733105,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,0.3271379,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,-0.9156038,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,-4.453169,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2011","2011","IDX","Index","0","Units","1982-84_100","1982-84=100",224.9392,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2012","2012","IDX","Index","0","Units","1982-84_100","1982-84=100",229.5939,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2013","2013","IDX","Index","0","Units","1982-84_100","1982-84=100",232.9571,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2014","2014","IDX","Index","0","Units","1982-84_100","1982-84=100",236.7362,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2015","2015","IDX","Index","0","Units","1982-84_100","1982-84=100",237.017,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2016","2016","IDX","Index","0","Units","1982-84_100","1982-84=100",240.0072,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2017","2017","IDX","Index","0","Units","1982-84_100","1982-84=100",245.1196,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2018","2018","IDX","Index","0","Units","1982-84_100","1982-84=100",251.1068,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2019","2019","IDX","Index","0","Units","1982-84_100","1982-84=100",255.6574,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXNB","National Index","A","Annual","2020","2020","IDX","Index","0","Units","1982-84_100","1982-84=100",258.8112,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,1.631393,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,3.450456,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,1.102681,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.3951694,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.9987356,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GY","Percentage change on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.02269053,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GY","Percentage change on the same period of the previous year","A","Annual","2017","2017","PC","Percentage","0","Units",,,-0.3733105,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GY","Percentage change on the same period of the previous year","A","Annual","2018","2018","PC","Percentage","0","Units",,,0.3271379,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GY","Percentage change on the same period of the previous year","A","Annual","2019","2019","PC","Percentage","0","Units",,,-0.9156038,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","GY","Percentage change on the same period of the previous year","A","Annual","2020","2020","PC","Percentage","0","Units",,,-4.453169,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,4.803924,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,2.453962,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.9083796,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,2.639801,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.167711,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,-1.325349,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","2017","2017","PC","Percentage","0","Units",,,-0.2021815,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","2018","2018","PC","Percentage","0","Units",,,0.4555647,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","2019","2019","PC","Percentage","0","Units",,,0.8851313,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GY","Percentage change on the same period of the previous year","A","Annual","2020","2020","PC","Percentage","0","Units",,,3.50503,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,2.172844,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,1.683888,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,2.086263,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.98985,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.719486,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GY","Percentage change on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,2.283826,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GY","Percentage change on the same period of the previous year","A","Annual","2017","2017","PC","Percentage","0","Units",,,3.515364,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GY","Percentage change on the same period of the previous year","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.611499,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GY","Percentage change on the same period of the previous year","A","Annual","2019","2019","PC","Percentage","0","Units",,,3.250866,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GY","Percentage change on the same period of the previous year","A","Annual","2020","2020","PC","Percentage","0","Units",,,3.413118,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXNB","National Index","A","Annual","2011","2011","IDX","Index","0","Units","2013M12_100","2013M12=100",96.09358,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXNB","National Index","A","Annual","2012","2012","IDX","Index","0","Units","2013M12_100","2013M12=100",99.40925,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXNB","National Index","A","Annual","2013","2013","IDX","Index","0","Units","2013M12_100","2013M12=100",100.5054,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXNB","National Index","A","Annual","2014","2014","IDX","Index","0","Units","2013M12_100","2013M12=100",100.9026,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXNB","National Index","A","Annual","2015","2015","IDX","Index","0","Units","2013M12_100","2013M12=100",99.89484,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXNB","National Index","A","Annual","2016","2016","IDX","Index","0","Units","2013M12_100","2013M12=100",99.87217,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXNB","National Index","A","Annual","2017","2017","IDX","Index","0","Units","2013M12_100","2013M12=100",99.49934,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXNB","National Index","A","Annual","2018","2018","IDX","Index","0","Units","2013M12_100","2013M12=100",99.82484,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXNB","National Index","A","Annual","2019","2019","IDX","Index","0","Units","2013M12_100","2013M12=100",98.91084,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXNB","National Index","A","Annual","2020","2020","IDX","Index","0","Units","2013M12_100","2013M12=100",94.50616,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",94.90424,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",96.86812,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",98.28708,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",99.88152,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",101.2616,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",103.4186,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",105.9446,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",107.8646,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",109.1952,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GP","Percentage change from previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,3.156842,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GP","Percentage change from previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,2.069337,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GP","Percentage change from previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,1.464833,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GP","Percentage change from previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.622223,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GP","Percentage change from previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.1186271,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GP","Percentage change from previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.261583,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GP","Percentage change from previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.13011,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GP","Percentage change from previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.442583,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GP","Percentage change from previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.81221,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GP","Percentage change from previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,1.233584,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",92.85802,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",94.42165,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",96.39153,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",98.30958,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",102.2838,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",105.8795,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",108.6445,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",112.1764,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",116.0051,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,2.172844,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,1.683888,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,2.086263,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.98985,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.719486,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,2.283826,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,3.515364,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.611499,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,3.250866,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,3.413118,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",93.15073,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",95.43662,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",96.30354,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",98.84576,,
